""," ","추가 설명 및 의견","작성자","변경 이력","","","","","","","","","","","","","","","","","","","","",""
"form","폼","","","","","","","","","","","","","","","","","","","","","","","",""
"formal argument","매개변수","","","","","","","","","","","","","","","","","","","","","","","",""
"format","형식, 서식, 종류 등으로 문맥에 맞게 사용","https://www.microsoft.com/en-us/language/Search?&searchTerm=format&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"fragments","fragments","번역 안함 / 프래그먼츠. 단수형은 프래그먼트로 읽음","","","","","","","","","","","","","","","","","","","","","","",""
"frame","프레임","","ohdajung","","","","","","","","","","","","","","","","","","","","","",""
"fulfilled","성공, 처리, 이행","프라미스에서 사용, 러닝 자바스크립트 번역 참고","","","","","","","","","","","","","","","","","","","","","","",""
"function","함수","","","","","","","","","","","","","","","","","","","","","","","",""
"Function / Functional Components","함수 컴포넌트","","","","","","","","","","","","","","","","","","","","","","","",""
"Function Declaration","함수 선언(문)","","","","","","","","","","","","","","","","","","","","","","","",""
"function expression","함수 표현식","","","","","","","","","","","","","","","","","","","","","","","",""
"garbage collection","가비지 컬렉션","","","","","","","","","","","","","","","","","","","","","","","",""
"generator","제너레이터","","","","","","","","","","","","","","","","","","","","","","","",""
"generic","제네릭","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"geometry","기하","좌표 관련 내장 메서드에서 쓰이는 용어","","","","","","","","","","","","","","","","","","","","","","",""
"getter","getter","번역 안함, 최초 등장시에만 `획득자`라고 영한 병기해줌 e.g.getter(획득자)","","","","","","","","","","","","","","","","","","","","","","",""
"global","전역","","","","","","","","","","","","","","","","","","","","","","","",""
"global symbol registry","전역 심볼 레지스트리","","","","","","","","","","","","","","","","","","","","","","","",""
"Google","Google","회사명은 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"handler","핸들러","","","","","","","","","","","","","","","","","","","","","","","",""
"handling","핸들링","","","","","","","","","","","","","","","","","","","","","","","",""
"Handling Events","이벤트 처리","","","","","","","","","","","","","","","","","","","","","","","",""
"header","헤더","","","","","","","","","","","","","","","","","","","","","","","",""
"helper","헬퍼(helper)","번역안하거나 음차번역","Chris","","","","","","","","","","","","","","","","","","","","","",""
"hex color","16진수 색","ms terms","","","","","","","","","","","","","","","","","","","","","","",""
"hidden property","숨김 프로퍼티","","","","","","","","","","","","","","","","","","","","","","","",""
